transect_id,pc_id,lat,lon,year,species_code,scientific_name,common_name,hab_type
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,hoowar,Setophaga citrina,Hooded Warbler,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,thitin1,Crypturellus cinnamomeus,Thicket Tinamou,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,rtatan1,Driophlox fuscicauda,Red-throated Ant-Tanager,forest
BOSCHIL,BOSCHIL_PC6,17.56699702,-90.190349,2019,ivbwoo1,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,forest
BOSCHIL,BOSCHIL_PC5,17.56539498,-90.19218296,2019,grecur1,Crax rubra,Great Curassow,forest
BOSCHIL,BOSCHIL_PC5,17.56539498,-90.19218296,2019,oltpar1,Eupsittula nana,Olive-throated Parakeet,forest
BOSCHIL,BOSCHIL_PC5,17.56539498,-90.19218296,2019,rudwoo1,Dendrocincla homochroa,Ruddy Woodcreeper,forest
BOSCHIL,BOSCHIL_PC5,17.56539498,-90.19218296,2019,wetsab1,Pampa curvipennis,Wedge-tailed Sabrewing,forest
BOSCHIL,BOSCHIL_PC4,17.56340403,-90.19305501,2019,blfgro1,Caryothraustes poliogaster,Black-faced Grosbeak,forest
BOSCHIL,BOSCHIL_PC4,17.56340403,-90.19305501,2019,greela,Myiopagis viridicata,Greenish Elaenia,forest
BOSCHIL,BOSCHIL_PC4,17.56340403,-90.19305501,2019,tacgre2,Tunchiornis ochraceiceps,Ochre-crowned Greenlet,forest
BOSCHIL,BOSCHIL_PC3,17.56122398,-90.19398096,2019,thitin1,Crypturellus cinnamomeus,Thicket Tinamou,forest
BOSCHIL,BOSCHIL_PC3,17.56122398,-90.19398096,2019,ivbwoo1,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,forest
BOSCHIL,BOSCHIL_PC3,17.56122398,-90.19398096,2019,bkfant2,Formicarius moniliger,Mayan Antthrush,forest
BOSCHIL,BOSCHIL_PC3,17.56122398,-90.19398096,2019,norben1,Oncostoma cinereigulare,Northern Bentbill,forest
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,bkfant2,Formicarius moniliger,Mayan Antthrush,forest
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,monoro1,Psarocolius montezuma,Montezuma Oropendola,forest
BOSCHIL,BOSCHIL_PC2,17.56007398,-90.19578198,2019,kebtou1,Ramphastos sulfuratus,Keel-billed Toucan,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,lobgna5,Ramphocaenus melanurus,Long-billed Gnatwren,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,squcuc1,Piaya cayana,Common Squirrel-Cuckoo,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,yeteup1,Euphonia hirundinacea,Yellow-throated Euphonia,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,trogna2,Polioptila bilineata,White-browed Gnatcatcher,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,wbwwre1,Henicorhina leucosticta,White-breasted Wood-Wren,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,shthaw,Buteo brachyurus,Short-tailed Hawk,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,sumtan,Piranga rubra,Summer Tanager,forest
BOSCHIL,BOSCHIL_PC1,17.55838897,-90.19702703,2019,thlsch2,Schiffornis veraepacis,Northern Schiffornis,forest
